"reportDate","payload.appt_num","payload.developer_group_name","payload.typed_volume_pct","payload.total_living_floor_size","payload.developer_group_id","payload.object_count","payload.total_living_floor_size_pct"
2019-05-01,3794,"Группа компаний AXIS",75.89,174242,"2698383001",19,0.1234959605
2019-05-01,2116,"Группа компаний Надежда",61.01,174119,"2948765001",18,0.1234087828
2019-05-01,4123,"Строительная компания 10ГПЗ",0,174073,"5827081001",7,0.1233761798
2019-05-01,3257,"Компания ПРОМСЕРВИС",66.01,173617,"3895489001",23,0.1230529847
2019-05-01,3675,"КОМОССТРОЙ",60.46,172121,"851697001",17,0.1219926781
2019-05-01,2208,"Группа компаний Центрстрой",44.14,171337,"432151001",7,0.1214370093
2019-05-01,4035,"Строительное управление 208",100,170316,"8280429001",18,0.1207133642
2019-05-01,3918,"Группа компаний УНИСТО Петросталь",10.08,169978,"1684309001",19,0.1204738029
2019-05-01,2896,"Строительная компания Сибирьинвест",54.15,169428,"2886994001",11,0.1200839843
2019-05-01,4010,"СК ВИРА-Строй",81.36,168554,"3645760001",23,0.119464527
2019-05-01,3183,"Строительно-монтажное управление 88",10.64,167827,"5671245001",8,0.1189492577
2019-05-01,3494,"Холдинг Саратовоблжилстрой",84.64,166355,"506327001",25,0.1179059613
2019-05-01,3909,"Ассоциация Строительных Организаций Комстрой",0,165765,"1538587001",10,0.1174877922
2019-05-01,4122,"Группа компаний КСК-Инвест",9.58,164845,"5694337001",9,0.1168357319
2019-05-01,3446,"Инвестиционно-строительная компания Алгоритм",32.98,164488,"5393599001",11,0.1165827042
2019-05-01,3498,"Строительная компания Кировспецмонтаж",76.8,164105,"5394371001",18,0.1163112487
2019-05-01,2320,"Уральская горно-металлургическая компания-Холдинг",22.42,163765,"724033001",16,0.1160702699
2019-05-01,4613,"Группа компаний СтройПромСервис",100,162955,"451326001",19,0.1154961734
2019-05-01,1886,"KASKAD Family",0,160887,"1464219001",85,0.1140304553
2019-05-01,3368,"Синара-Девелопмент",33.92,160871,"701340001",15,0.1140191151
2019-05-01,3098,"Группа компаний КомСтрин",39.91,160615,"1163375001",7,0.1138376723
2019-05-01,3344,"Группа строительный компаний Спецстрой",79.06,159309,"5338330001",9,0.1129120302
2019-05-01,3013,"Акфен",9.6,159210,"5484868001",11,0.1128418628
2019-05-01,2778,"Нефтестройиндустрия-Юг",47.53,159070,"5395386001",11,0.1127426363
2019-05-01,3235,"Группа компаний Сатурн-Р",72.99,159027,"682922001",7,0.1127121596
2019-05-01,3616,"Группа компаний УПРАВЛЕНИЕ МЕХАНИЗАЦИИ № 24",98.06,158994,"4746086001",17,0.1126887704
2019-05-01,3630,"ИнтерГрупп",0,158764,"10025976001",6,0.1125257554
2019-05-01,2857,"Группа компаний Астра",0,158763,"780917001",11,0.1125250466
2019-05-01,4467,"Холдинг Стройпромавтоматика",86.48,157837,"1378424001",12,0.1118687338
2019-05-01,3328,"Группа компаний ГИК",30.05,157721,"5696321001",15,0.1117865175
2019-05-01,2970,"Группа компаний Союз",63.94,157671,"581604001",9,0.1117510794
2019-05-01,3620,"Инвестиционно-девелоперская компания Град",0,155369,"3498218001",14,0.1101195113
2019-05-01,3985,"ЭкоСити",100,155189,"5504490001",30,0.1099919343
2019-05-01,3458,"ВЕСТА",80.01,154319,"4198535001",25,0.1093753121
2019-05-01,2896,"Группа компаний Столица Нижний",65.78,154206,"1172140001",18,0.109295222
2019-05-01,2368,"Группа компаний АКД",0,154092,"5779789001",27,0.1092144233
2019-05-01,2559,"Level Group",0,154028,"6150430001",2,0.1091690626
2019-05-01,2784,"Авеста-Строй",100,152624,"4845012001",11,0.1081739619
2019-05-01,3457,"Холдинг Сибирский деловой союз",66.36,152598,"451686001",31,0.1081555341
2019-05-01,2790,"Группа компаний АК БАРС Девелопмент",22.16,150864,"2923318001",10,0.1069265423
2019-05-01,3540,"Группа компаний АльфаСтройИнвест",33.59,150642,"5380617001",16,0.1067691973
2019-05-01,2179,"Холдинг Форум-групп",0,150465,"871470001",14,0.1066437466
2019-05-01,2203,"Bonava",0,149757,"2744319001",29,0.1061419437
2019-05-01,2137,"LEGENDA Intelligent Development",0,148778,"1824654001",6,0.1054480665
2019-05-01,3575,"Орбита",100,148512,"7403742001",13,0.1052595361
2019-05-01,2706,"Группа компаний Стройтэк",0,148031,"1059168001",11,0.1049186219
2019-05-01,3302,"Тройка Рэд",15.71,146551,"1458749001",15,0.1038696554
2019-05-01,3372,"Трест Магнитострой",80.7,146469,"922602001",20,0.103811537
2019-05-01,2905,"Инстеп",66.03,146447,"2992531001",20,0.1037959443
2019-05-01,3456,"УК ЮГ",0,145764,"8721389001",24,0.1033118604
2019-05-01,2660,"Транспортно-пересадочный узел Рассказовка",0,144817,"9899175001",3,0.1026406636
2019-05-01,3124,"Строительная группа Третий Рим",100,144275,"5577902001",42,0.1022565151
